step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
386,134352,3088,0.04622659816042869,0.875,0.875,,,,,,,,,
387,134680,3096,0.04074651104817167,0.75,0.75,,,,,,,,,
388,135136,3104,0.0279651082539931,0.875,0.875,,,,,,,,,
389,135528,3112,0.030491081299745326,0.875,0.875,,,,,,,,,
390,135920,3120,0.03889801986597983,0.5,0.5,,,,,,,,,
391,136184,3128,0.03679417294639279,1.0,1.0,,,,,,,,,
392,136448,3136,0.04526662677963031,1.0,1.0,,,,,,,,,
393,136648,3144,0.040667971484363075,0.875,0.875,0.025949666842886167,1.0,1.0,,,,,,
394,137040,3152,0.02791982460514797,0.875,0.875,,,,,,,,,
395,137368,3160,0.032138231070828624,0.875,0.875,,,,,,,,,
396,137568,3168,0.04318639349827814,0.875,0.875,,,,,,,,,
397,138024,3176,0.027504531714699364,0.875,0.875,,,,,,,,,
398,138416,3184,0.03467461907935406,0.875,0.875,,,,,,,,,
399,138744,3192,0.0334551159743496,0.75,0.75,,,,,,,,,
400,138944,3200,0.031641836865746883,1.0,1.0,,,,,,,,,
401,139336,3208,0.03176688331720167,0.875,0.875,0.04107274899741848,0.875,0.875,,,,,,
402,139600,3216,0.02958868184396124,1.0,1.0,,,,,,,,,
403,139992,3224,0.0337539722310612,0.875,0.875,,,,,,,,,
404,140256,3232,0.03444095566344913,0.875,0.875,,,,,,,,,
405,140648,3240,0.03631532747629535,0.75,0.75,,,,,,,,,
406,140912,3248,0.03535139424100635,1.0,1.0,,,,,,,,,
407,141176,3256,0.029069031072067444,1.0,1.0,,,,,,,,,
408,141440,3264,0.036375290754112936,1.0,1.0,,,,,,,,,
409,141768,3272,0.03535206762421876,0.875,0.875,0.021040955675513638,1.0,1.0,,,,,,
410,142160,3280,0.0223503655383441,1.0,1.0,,,,,,,,,
411,142488,3288,0.04149866317142733,0.875,0.875,,,,,,,,,
412,142880,3296,0.03036092897459942,1.0,1.0,,,,,,,,,
413,143272,3304,0.027065477472885197,1.0,1.0,,,,,,,,,
414,143600,3312,0.04791333022962499,0.75,0.75,,,,,,,,,
415,143992,3320,0.026211053144652396,1.0,1.0,,,,,,,,,
416,144320,3328,0.031599827262907644,0.875,0.875,,,,,,,,,
417,144712,3336,0.03742040371905508,0.75,0.75,0.025464352894632614,1.0,1.0,,,,,,
418,145040,3344,0.03153659315500408,1.0,1.0,,,,,,,,,
419,145368,3352,0.03395649545657216,0.875,0.875,,,,,,,,,
420,145632,3360,0.04220999079559988,0.875,0.875,,,,,,,,,
421,145896,3368,0.03771981190191582,0.875,0.875,,,,,,,,,
422,146160,3376,0.04690322710084729,0.75,0.75,,,,,,,,,
423,146360,3384,0.03509893876534382,1.0,1.0,,,,,,,,,
424,146688,3392,0.02659922617883422,1.0,1.0,,,,,,,,,
425,147016,3400,0.042422891641756,0.75,0.75,0.03729896678953082,0.875,0.875,,,,,,
426,147472,3408,0.04433663023993307,0.5,0.5,,,,,,,,,
427,147672,3416,0.041969128347312416,0.875,0.875,,,,,,,,,
428,147936,3424,0.036689267150941306,0.875,0.875,,,,,,,,,
429,148200,3432,0.03128125042348984,0.875,0.875,,,,,,,,,
430,148400,3440,0.028080520654136007,1.0,1.0,,,,,,,,,
431,148664,3448,0.024143555783084598,1.0,1.0,,,,,,,,,
432,149056,3456,0.020468406989433183,1.0,1.0,,,,,,,,,
433,149384,3464,0.037598043499718195,0.75,0.75,0.01830170020611452,1.0,1.0,,,,,,
434,149712,3472,0.03448956608354638,0.875,0.875,,,,,,,,,
435,150040,3480,0.029237860845358225,1.0,1.0,,,,,,,,,
436,150304,3488,0.039644649270339866,0.875,0.875,,,,,,,,,
437,150760,3496,0.03310880838097287,0.875,0.875,,,,,,,,,
438,151088,3504,0.032749569661449644,0.875,0.875,,,,,,,,,
439,151352,3512,0.034996227229712525,0.875,0.875,,,,,,,,,
440,151552,3520,0.05799038700354383,0.875,0.875,,,,,,,,,
441,151880,3528,0.027698782886553093,1.0,1.0,0.03878130931622582,0.75,0.75,,,,,,
442,152400,3536,0.017655971663753007,1.0,1.0,,,,,,,,,
443,152728,3544,0.03421484064393736,0.875,0.875,,,,,,,,,
444,153120,3552,0.03361579129717862,0.875,0.875,,,,,,,,,
445,153448,3560,0.03056781913942541,0.875,0.875,,,,,,,,,
446,153776,3568,0.025904366772127107,1.0,1.0,,,,,,,,,
447,154168,3576,0.038112584660993896,0.625,0.625,,,,,,,,,
448,154368,3584,0.04672879743215163,0.875,0.875,,,,,,,,,
449,154632,3592,0.03411425668979064,1.0,1.0,0.03346119361188176,0.875,0.875,,,,,,
450,154832,3600,0.0399444243311882,0.875,0.875,,,,,,,,,
451,155160,3608,0.02622990742476395,1.0,1.0,,,,,,,,,
452,155424,3616,0.037951308813735526,0.875,0.875,,,,,,,,,
453,155688,3624,0.048728267720434815,0.75,0.75,,,,,,,,,
454,156080,3632,0.021664131051511507,1.0,1.0,,,,,,,,,
455,156408,3640,0.025098017014708603,1.0,1.0,,,,,,,,,
456,156864,3648,0.04395608471831241,0.5,0.5,,,,,,,,,
457,157128,3656,0.02492651882894279,1.0,1.0,0.03127621105605309,0.75,0.75,,,,,,
458,157456,3664,0.020561877453816123,1.0,1.0,,,,,,,,,
459,157720,3672,0.02327626570950088,1.0,1.0,,,,,,,,,
460,157984,3680,0.036033645329298446,0.875,0.875,,,,,,,,,
461,158248,3688,0.02336066683442823,1.0,1.0,,,,,,,,,
462,158576,3696,0.02965340480906889,1.0,1.0,,,,,,,,,
463,158840,3704,0.03414949235581844,1.0,1.0,,,,,,,,,
464,159232,3712,0.029854945798870172,0.875,0.875,,,,,,,,,
465,159432,3720,0.023106015479230944,1.0,1.0,0.0294501856288407,1.0,1.0,,,,,,
466,159760,3728,0.037324960424448356,0.875,0.875,,,,,,,,,
467,160024,3736,0.03856098198244581,0.875,0.875,,,,,,,,,
468,160288,3744,0.03847800223320519,0.875,0.875,,,,,,,,,
469,160744,3752,0.03117737802883701,0.75,0.75,,,,,,,,,
470,161008,3760,0.024587718078400937,1.0,1.0,,,,,,,,,
471,161400,3768,0.019541021466138772,1.0,1.0,,,,,,,,,
472,161728,3776,0.027173334992257873,0.875,0.875,,,,,,,,,
473,161992,3784,0.02616754392860457,1.0,1.0,0.03687044901831542,0.875,0.875,,,,,,
474,162320,3792,0.039974933172648885,0.875,0.875,,,,,,,,,
475,162520,3800,0.05615168447451044,0.75,0.75,,,,,,,,,
476,162912,3808,0.025834655535363706,1.0,1.0,,,,,,,,,
477,163176,3816,0.05845560587549698,0.625,0.625,,,,,,,,,
478,163504,3824,0.02145540299639106,1.0,1.0,,,,,,,,,
479,163704,3832,0.04475501082604751,0.875,0.875,,,,,,,,,
480,164096,3840,0.03380477278711623,0.875,0.875,,,,,,,,,
481,164424,3848,0.033373044320673215,0.75,0.75,0.039013246846346494,1.0,1.0,,,,,,
482,164880,3856,0.02651966395894955,0.875,0.875,,,,,,,,,
483,165144,3864,0.045409774871150145,0.875,0.875,,,,,,,,,
484,165664,3872,0.019833646157254633,0.875,0.875,,,,,,,,,
485,165992,3880,0.027684902494220294,1.0,1.0,,,,,,,,,
486,166384,3888,0.03347699765383975,0.875,0.875,,,,,,,,,
487,166712,3896,0.04133588542370126,0.75,0.75,,,,,,,,,
488,167232,3904,0.020582543034106494,1.0,1.0,,,,,,,,,
489,167624,3912,0.032757184386382504,0.875,0.875,0.025982481378288562,0.875,0.875,,,,,,
490,167824,3920,0.065104012718463,0.625,0.625,,,,,,,,,
491,168216,3928,0.03551477199223882,0.75,0.75,,,,,,,,,
492,168608,3936,0.028569243407752465,0.875,0.875,,,,,,,,,
493,168808,3944,0.029651290559171078,1.0,1.0,,,,,,,,,
494,169008,3952,0.04125797073609041,0.875,0.875,,,,,,,,,
495,169336,3960,0.03330824088293593,0.875,0.875,,,,,,,,,
496,169600,3968,0.031611084428441245,1.0,1.0,,,,,,,,,
497,169864,3976,0.03553463621065021,0.875,0.875,0.03207937767866648,0.875,0.875,,,,,,
498,170256,3984,0.022561371820193018,1.0,1.0,,,,,,,,,
499,170712,3992,0.03125584544730373,1.0,1.0,,,,,,,,,
500,171104,4000,0.04947417589861591,0.625,0.625,,,,,,,,,
501,171368,4008,0.05601229343505111,0.75,0.75,,,,,,,,,
502,171696,4016,0.03731576561927795,0.75,0.75,,,,,,,,,
503,172088,4024,0.030612642433649553,1.0,1.0,,,,,,,,,
504,172416,4032,0.02904398384696106,1.0,1.0,,,,,,,,,
505,172744,4040,0.031516170963644986,0.75,0.75,0.030715837186500727,1.0,1.0,,,,,,
506,173072,4048,0.03556708013592287,0.875,0.875,,,,,,,,,
507,173272,4056,0.057630670220435914,0.75,0.75,,,,,,,,,
508,173664,4064,0.02259362081051222,1.0,1.0,,,,,,,,,
509,174056,4072,0.033236229900358016,0.875,0.875,,,,,,,,,
510,174448,4080,0.035778214009187646,0.875,0.875,,,,,,,,,
511,174712,4088,0.03209911114812713,1.0,1.0,,,,,,,,,
512,175040,4096,0.04038567594220512,0.75,0.75,,,,,,,,,
513,175368,4104,0.026695189258229217,1.0,1.0,0.03862833669409156,1.0,1.0,,,,,,
514,175632,4112,0.022195094571361554,1.0,1.0,,,,,,,,,
515,176024,4120,0.03304515940526775,0.875,0.875,,,,0.8980000019073486,0.8988988988988988,0.9988876529477196,0.5299067170343286,0.9099711804036558,0.9462592202318229
516,176352,4128,0.02456872699302039,0.875,0.875,,,,,,,,,
517,176680,4136,0.028002416452363836,1.0,1.0,,,,,,,,,
518,177008,4144,0.023821296636975603,1.0,1.0,,,,,,,,,
519,177336,4152,0.019098571143695155,1.0,1.0,,,,,,,,,
520,177664,4160,0.023766721265099478,1.0,1.0,,,,,,,,,
521,178120,4168,0.016322824153381977,1.0,1.0,0.030894724217384165,1.0,1.0,,,,,,
522,178384,4176,0.030129680940153777,1.0,1.0,,,,,,,,,
523,178776,4184,0.03131327147354871,0.875,0.875,,,,,,,,,
524,179040,4192,0.05429054615327914,0.75,0.75,,,,,,,,,
525,179432,4200,0.028048947827046502,1.0,1.0,,,,,,,,,
526,179760,4208,0.025272746225586156,1.0,1.0,,,,,,,,,
527,180216,4216,0.02235418262247549,1.0,1.0,,,,,,,,,
528,180608,4224,0.024488942913303616,0.875,0.875,,,,,,,,,
529,180936,4232,0.038765240961511155,0.875,0.875,0.03278861920863467,1.0,1.0,,,,,,
530,181200,4240,0.03812407599176367,0.875,0.875,,,,,,,,,
531,181592,4248,0.03538595693797106,0.875,0.875,,,,,,,,,
532,181920,4256,0.03167438567505451,1.0,1.0,,,,,,,,,
533,182184,4264,0.03643614052307385,1.0,1.0,,,,,,,,,
534,182640,4272,0.02435771974585285,0.875,0.875,,,,,,,,,
535,182840,4280,0.04298809463686969,0.875,0.875,,,,,,,,,
536,183168,4288,0.028602700129442375,0.875,0.875,,,,,,,,,
537,183624,4296,0.025766697275310953,0.875,0.875,0.030483163332100955,1.0,1.0,,,,,,
538,184016,4304,0.029351734929526477,0.875,0.875,,,,,,,,,
539,184408,4312,0.028316177640808748,0.875,0.875,,,,,,,,,
540,184800,4320,0.03324280351138441,0.75,0.75,,,,,,,,,
541,185128,4328,0.027047726438846443,1.0,1.0,,,,,,,,,
542,185456,4336,0.026385490064742046,1.0,1.0,,,,,,,,,
543,185720,4344,0.049321820372060766,0.625,0.625,,,,,,,,,
544,186048,4352,0.031034991992753936,0.875,0.875,,,,,,,,,
545,186248,4360,0.03796439321925087,0.875,0.875,0.03415634579393857,0.625,0.625,,,,,,
546,186640,4368,0.030211451511222554,0.75,0.75,,,,,,,,,
547,187032,4376,0.02746238902557555,0.875,0.875,,,,,,,,,
548,187360,4384,0.022679595997541584,1.0,1.0,,,,,,,,,
549,187752,4392,0.030929627279989904,0.875,0.875,,,,,,,,,
550,188144,4400,0.03149186647346749,0.75,0.75,,,,,,,,,
551,188408,4408,0.03218377195698849,0.875,0.875,,,,,,,,,
552,188800,4416,0.0319948065772769,0.875,0.875,,,,,,,,,
553,189064,4424,0.020319145634830418,1.0,1.0,0.03738007217831909,0.75,0.75,,,,,,
554,189392,4432,0.025821387972333472,1.0,1.0,,,,,,,,,
555,189720,4440,0.02687088276428403,1.0,1.0,,,,,,,,,
556,190048,4448,0.02658660565811442,0.875,0.875,,,,,,,,,
557,190440,4456,0.01828908634231387,1.0,1.0,,,,,,,,,
558,190768,4464,0.023479632005240995,1.0,1.0,,,,,,,,,
559,191032,4472,0.035947018789083816,1.0,1.0,,,,,,,,,
560,191360,4480,0.03568106197752059,0.875,0.875,,,,,,,,,
561,191752,4488,0.03106494881819041,0.875,0.875,0.03097516427778646,1.0,1.0,,,,,,
562,192144,4496,0.03141166122222785,0.875,0.875,,,,,,,,,
563,192408,4504,0.040111687364551465,0.875,0.875,,,,,,,,,
564,192800,4512,0.018289207348643685,1.0,1.0,,,,,,,,,
565,193128,4520,0.02930496819107793,0.875,0.875,,,,,,,,,
566,193520,4528,0.021575588927953502,1.0,1.0,,,,,,,,,
567,193848,4536,0.03587292344914749,0.875,0.875,,,,,,,,,
568,194176,4544,0.03138124158013671,1.0,1.0,,,,,,,,,
569,194696,4552,0.028950713375650708,0.875,0.875,0.03470037829139376,1.0,1.0,,,,,,
570,195024,4560,0.0407430470653926,0.75,0.75,,,,,,,,,
571,195416,4568,0.023384853587103863,1.0,1.0,,,,,,,,,
572,195744,4576,0.028721969720209017,1.0,1.0,,,,,,,,,
573,196072,4584,0.021664608520804905,1.0,1.0,,,,,,,,,
574,196336,4592,0.033778336056275296,0.875,0.875,,,,,,,,,
575,196664,4600,0.02824517991194444,0.875,0.875,,,,,,,,,
576,197056,4608,0.021946062259861118,1.0,1.0,,,,,,,,,
577,197448,4616,0.03026856984923749,0.75,0.75,0.03188415101211285,1.0,1.0,,,,,,
578,197712,4624,0.04473244014436205,0.75,0.75,,,,,,,,,
579,198040,4632,0.030384496931859756,0.875,0.875,,,,,,,,,
580,198240,4640,0.048742878520133676,0.75,0.75,,,,,,,,,
581,198632,4648,0.03313073409499339,0.875,0.875,,,,,,,,,
582,199024,4656,0.027633355039173083,1.0,1.0,,,,,,,,,
583,199288,4664,0.03835200846863699,0.875,0.875,,,,,,,,,
584,199680,4672,0.024431744548079826,0.875,0.875,,,,,,,,,
585,200008,4680,0.02342401422324474,1.0,1.0,0.02123590571749901,1.0,1.0,,,,,,
586,200400,4688,0.02492918299443166,1.0,1.0,,,,,,,,,
587,200728,4696,0.04103140924336912,0.875,0.875,,,,,,,,,
588,201056,4704,0.03214473276841455,1.0,1.0,,,,,,,,,
589,201448,4712,0.030908879195534006,0.875,0.875,,,,,,,,,
590,201776,4720,0.02859433908242499,0.875,0.875,,,,,,,,,
591,201976,4728,0.026120019310716697,1.0,1.0,,,,,,,,,
592,202304,4736,0.024589666574785948,0.875,0.875,,,,,,,,,
593,202632,4744,0.022315284299314952,1.0,1.0,0.04235291100695576,0.75,0.75,,,,,,
594,203088,4752,0.0219454558698791,0.875,0.875,,,,,,,,,
595,203416,4760,0.04326217084773816,0.75,0.75,,,,,,,,,
596,203744,4768,0.02422727074791328,1.0,1.0,,,,,,,,,
597,204136,4776,0.026665794532153394,0.875,0.875,,,,,,,,,
598,204528,4784,0.02015645171767877,1.0,1.0,,,,,,,,,
599,204920,4792,0.04007640272572341,0.75,0.75,,,,,,,,,
600,205120,4800,0.024272081289576215,1.0,1.0,,,,,,,,,
601,205512,4808,0.031127480308132366,0.75,0.75,0.035176883910142356,0.75,0.75,,,,,,
602,205904,4816,0.03698622071754168,0.75,0.75,,,,,,,,,
603,206104,4824,0.04289779755141354,0.875,0.875,,,,,,,,,
604,206560,4832,0.017083521969392935,1.0,1.0,,,,,,,,,
605,206888,4840,0.03102663116081385,1.0,1.0,,,,,,,,,
606,207280,4848,0.035755518388311126,1.0,1.0,,,,,,,,,
607,207608,4856,0.04395361605938524,0.625,0.625,,,,,,,,,
608,208000,4864,0.024314831618952062,1.0,1.0,,,,,,,,,
609,208328,4872,0.026802596734720286,1.0,1.0,0.024835819211963102,1.0,1.0,,,,,,
610,208720,4880,0.03573713433346711,0.75,0.75,,,,,,,,,
611,209048,4888,0.03227811107665184,0.75,0.75,,,,,,,,,
612,209504,4896,0.037744093461515145,0.75,0.75,,,,,,,,,
613,209832,4904,0.0335161650582595,0.875,0.875,,,,,,,,,
614,210096,4912,0.040885616076730004,0.75,0.75,,,,,,,,,
615,210360,4920,0.03484134788515803,0.875,0.875,,,,,,,,,
616,210624,4928,0.04638711442330532,0.625,0.625,,,,,,,,,
617,210952,4936,0.02883555718997377,1.0,1.0,0.0387752636911755,1.0,1.0,,,,,,
618,211280,4944,0.03849265241005923,0.75,0.75,,,,,,,,,
619,211480,4952,0.05662674750055885,0.75,0.75,,,,,,,,,
620,211808,4960,0.031624930898658934,0.875,0.875,,,,,,,,,
621,212200,4968,0.028913846051048797,0.875,0.875,,,,,,,,,
622,212464,4976,0.03645985006645788,0.875,0.875,,,,,,,,,
623,212728,4984,0.03018259344740727,0.875,0.875,,,,,,,,,
624,213248,4992,0.017090839635275187,0.875,0.875,,,,,,,,,
625,213640,5000,0.031637738170441784,1.0,1.0,0.035797804436501796,0.875,0.875,,,,,,
626,213840,5008,0.029923693352999783,1.0,1.0,,,,,,,,,
627,214232,5016,0.03066238849412002,0.875,0.875,,,,,,,,,
628,214560,5024,0.02536707151163136,0.875,0.875,,,,,,,,,
629,214952,5032,0.01884761022166155,1.0,1.0,,,,,,,,,
630,215216,5040,0.04894957118100138,0.75,0.75,,,,,,,,,
631,215416,5048,0.024413606143789363,1.0,1.0,,,,,,,,,
632,215744,5056,0.037721355288580526,0.875,0.875,,,,,,,,,
633,216072,5064,0.03223112535328164,0.875,0.875,0.04781035033518492,0.875,0.875,,,,,,
634,216464,5072,0.02942798796420296,0.875,0.875,,,,,,,,,
635,216792,5080,0.036524936737463584,0.875,0.875,,,,,,,,,
636,217120,5088,0.019133336407850948,1.0,1.0,,,,,,,,,
637,217384,5096,0.04567941350644105,0.75,0.75,,,,,,,,,
638,217584,5104,0.04097568553451614,0.875,0.875,,,,,,,,,
639,217976,5112,0.03139834117297748,0.75,0.75,,,,,,,,,
640,218304,5120,0.03268274857162032,0.875,0.875,,,,,,,,,
641,218568,5128,0.04057421804551268,0.75,0.75,0.03381909684052516,1.0,1.0,,,,,,
642,218960,5136,0.029828631959902246,1.0,1.0,,,,,,,,,
643,219416,5144,0.028896332033535668,0.875,0.875,,,,,,,,,
644,219872,5152,0.027012448696433627,1.0,1.0,,,,,,,,,
645,220200,5160,0.02571687798947096,0.875,0.875,,,,,,,,,
646,220528,5168,0.04037817920491216,1.0,1.0,,,,,,,,,
647,220920,5176,0.03256742931430078,0.875,0.875,,,,,,,,,
648,221312,5184,0.0286007889668205,0.875,0.875,,,,,,,,,
649,221704,5192,0.024846628734764332,1.0,1.0,0.02659111664656666,1.0,1.0,,,,,,
650,222224,5200,0.028169702154336847,1.0,1.0,,,,,,,,,
651,222616,5208,0.030431496932936477,0.875,0.875,,,,,,,,,
652,223008,5216,0.045076513698368216,0.625,0.625,,,,,,,,,
653,223400,5224,0.026740658633643763,1.0,1.0,,,,,,,,,
654,223664,5232,0.03453005183577261,0.875,0.875,,,,,,,,,
655,223928,5240,0.03805402745470928,0.875,0.875,,,,,,,,,
656,224320,5248,0.018248764144300367,1.0,1.0,,,,,,,,,
657,224712,5256,0.03631911432525764,0.75,0.75,0.02292409496760229,1.0,1.0,,,,,,
658,225040,5264,0.020124301067320632,1.0,1.0,,,,,,,,,
659,225304,5272,0.035424959765041425,0.875,0.875,,,,,,,,,
660,225632,5280,0.03380174101056764,0.875,0.875,,,,,,,,,
661,225896,5288,0.026220028756288233,1.0,1.0,,,,,,,,,
662,226352,5296,0.030327588233381646,0.625,0.625,,,,,,,,,
663,226808,5304,0.02029190944740549,0.875,0.875,,,,,,,,,
664,227200,5312,0.018225329681687677,1.0,1.0,,,,,,,,,
665,227528,5320,0.024538431362831032,1.0,1.0,0.048700879343086846,0.75,0.75,,,,,,
666,227856,5328,0.040385424285894256,0.875,0.875,,,,,,,,,
667,228184,5336,0.03038137355144136,1.0,1.0,,,,,,,,,
668,228512,5344,0.03353047304041684,0.875,0.875,,,,,,,,,
669,228840,5352,0.031030811083968733,0.75,0.75,,,,,,,,,
670,229168,5360,0.02054960931002279,1.0,1.0,,,,,,,,,
671,229560,5368,0.0358381797154046,0.75,0.75,,,,,,,,,
672,229824,5376,0.042624189369635135,0.75,0.75,,,,,,,,,
673,230280,5384,0.027138549630347238,0.75,0.75,0.047298874774714936,0.75,0.75,,,,,,
674,230672,5392,0.02857425513100073,1.0,1.0,,,,,,,,,
675,231000,5400,0.024111712130645176,0.875,0.875,,,,,,,,,
676,231264,5408,0.024454711896587468,1.0,1.0,,,,,,,,,
677,231592,5416,0.020037570128450168,1.0,1.0,,,,,,,,,
678,231984,5424,0.025556659352572144,1.0,1.0,,,,,,,,,
679,232248,5432,0.06105770286289044,0.5,0.5,,,,,,,,,
680,232640,5440,0.03486897694892832,0.875,0.875,,,,,,,,,
681,233032,5448,0.028302769394324512,0.875,0.875,0.025384427338832817,0.875,0.875,,,,,,
682,233424,5456,0.02822595304466328,1.0,1.0,,,,,,,,,
683,233752,5464,0.03196247327153105,0.875,0.875,,,,,,,,,
684,234080,5472,0.03425443288292081,0.875,0.875,,,,,,,,,
685,234344,5480,0.034383775259721014,0.875,0.875,,,,,,,,,
686,234608,5488,0.02896973791444907,0.875,0.875,,,,,,,,,
687,235000,5496,0.03295792769805606,0.875,0.875,,,,,,,,,
688,235392,5504,0.023230235050335373,1.0,1.0,,,,,,,,,
689,235784,5512,0.028463212745006485,0.875,0.875,0.027011283976135017,1.0,1.0,,,,,,
690,236176,5520,0.029996051950923478,0.875,0.875,,,,,,,,,
691,236440,5528,0.028834464377432596,1.0,1.0,,,,,,,,,
692,236768,5536,0.03706089495155902,0.875,0.875,,,,,,,,,
693,237096,5544,0.039071524455037435,0.875,0.875,,,,,,,,,
694,237360,5552,0.05612320216845546,0.625,0.625,,,,,,,,,
695,237688,5560,0.037104270067211474,0.875,0.875,,,,,,,,,
696,238016,5568,0.03281882144522388,1.0,1.0,,,,,,,,,
697,238408,5576,0.01946355439373292,1.0,1.0,0.030311110380338502,0.875,0.875,,,,,,
698,238800,5584,0.0378139107513986,0.75,0.75,,,,,,,,,
699,238936,5592,0.05808974494284485,0.875,0.875,,,,,,,,,
700,239264,5600,0.03533246987889288,0.875,0.875,,,,,,,,,
701,239656,5608,0.03158608555619139,0.875,0.875,,,,,,,,,
702,239856,5616,0.038613890459091645,0.875,0.875,,,,,,,,,
703,240120,5624,0.02253214590091375,1.0,1.0,,,,,,,,,
704,240448,5632,0.034713017337227946,0.75,0.75,,,,,,,,,
705,240712,5640,0.031252664598050615,0.875,0.875,0.047109886656395254,0.625,0.625,,,,,,
706,240976,5648,0.029141235237038928,1.0,1.0,,,,,,,,,
707,241304,5656,0.029022513859847093,1.0,1.0,,,,,,,,,
708,241504,5664,0.0429682703300811,0.875,0.875,,,,,,,,,
709,241768,5672,0.03742992328363471,0.875,0.875,,,,,,,,,
710,242096,5680,0.02364598761079833,1.0,1.0,,,,,,,,,
711,242424,5688,0.03268391254689777,0.75,0.75,,,,,,,,,
712,242752,5696,0.023211283952667146,1.0,1.0,,,,,,,,,
713,243080,5704,0.036479769880796084,0.75,0.75,0.03941649317756492,0.875,0.875,,,,,,
714,243344,5712,0.037635673179283916,0.875,0.875,,,,,,,,,
715,243672,5720,0.025853668157302306,1.0,1.0,,,,,,,,,
716,244064,5728,0.02757607746600115,0.875,0.875,,,,,,,,,
717,244520,5736,0.03008802726294724,0.875,0.875,,,,,,,,,
718,244784,5744,0.04107883672739263,0.75,0.75,,,,,,,,,
719,245112,5752,0.025379725454258734,1.0,1.0,,,,,,,,,
720,245504,5760,0.0234808875746603,1.0,1.0,,,,,,,,,
721,245768,5768,0.03076665858410706,0.875,0.875,0.03432603765123713,0.75,0.75,,,,,,
722,246160,5776,0.029729356205110285,0.875,0.875,,,,,,,,,
723,246488,5784,0.02923390937861405,0.875,0.875,,,,,,,,,
724,246944,5792,0.020106124539161104,1.0,1.0,,,,,,,,,
725,247400,5800,0.02291366338736095,1.0,1.0,,,,,,,,,
726,247728,5808,0.0282849399917759,1.0,1.0,,,,,,,,,
727,247992,5816,0.03490012698148348,0.875,0.875,,,,,,,,,
728,248256,5824,0.030232895449153148,0.875,0.875,,,,,,,,,
729,248456,5832,0.04292489195203719,0.875,0.875,0.027324437982169908,1.0,1.0,,,,,,
730,248784,5840,0.030065843117321488,1.0,1.0,,,,,,,,,
731,249240,5848,0.016739502702714938,1.0,1.0,,,,,,,,,
732,249504,5856,0.04054936025274402,0.75,0.75,,,,,,,,,
733,249896,5864,0.02092790082533308,1.0,1.0,,,,,,,,,
734,250352,5872,0.01792737398223185,0.875,0.875,,,,,,,,,
735,250808,5880,0.026372056531295783,0.875,0.875,,,,,,,,,
736,251008,5888,0.022768892584135756,1.0,1.0,,,,,,,,,
737,251336,5896,0.027852902314742096,1.0,1.0,0.04054520385177706,0.75,0.75,,,,,,
738,251664,5904,0.033916607725266654,0.75,0.75,,,,,,,,,
739,252056,5912,0.01870124169072369,1.0,1.0,,,,,,,,,
740,252384,5920,0.029496841421787396,0.875,0.875,,,,,,,,,
741,252648,5928,0.03793841614058693,0.875,0.875,,,,,,,,,
742,252912,5936,0.03825923674163278,0.875,0.875,,,,,,,,,
743,253112,5944,0.07835662622664434,0.5,0.5,,,,,,,,,
744,253440,5952,0.027476993894524643,0.875,0.875,,,,,,,,,
745,253832,5960,0.025590690339546807,1.0,1.0,0.029433135700062854,1.0,1.0,,,,,,
746,254288,5968,0.023320392427147976,1.0,1.0,,,,,,,,,
747,254488,5976,0.03246847295667976,1.0,1.0,,,,,,,,,
748,254816,5984,0.026576329568764778,1.0,1.0,,,,,,,,,
749,255144,5992,0.038465888769656884,0.875,0.875,,,,,,,,,
750,255600,6000,0.025602932777629962,1.0,1.0,,,,,,,,,
751,255928,6008,0.035242250884039095,0.875,0.875,,,,,,,,,
752,256128,6016,0.028394835845489675,1.0,1.0,,,,,,,,,
753,256456,6024,0.034907688588718885,0.875,0.875,0.021038009948545853,1.0,1.0,,,,,,
754,256848,6032,0.04513512881190157,0.75,0.75,,,,,,,,,
755,257112,6040,0.025266420871521405,1.0,1.0,,,,,,,,,
756,257440,6048,0.03885799456866516,0.875,0.875,,,,,,,,,
757,257704,6056,0.02540157887124224,1.0,1.0,,,,,,,,,
758,258032,6064,0.04041654731857852,0.75,0.75,,,,,,,,,
759,258424,6072,0.033308181037767406,0.75,0.75,,,,,,,,,
760,258816,6080,0.03451597200648394,0.875,0.875,,,,,,,,,
761,259272,6088,0.015936181070896317,1.0,1.0,0.022640500746201726,1.0,1.0,,,,,,
762,259600,6096,0.028266256266506397,0.875,0.875,,,,,,,,,
763,260056,6104,0.02189822822023416,1.0,1.0,,,,,,,,,
764,260384,6112,0.030572894049677418,1.0,1.0,,,,,,,,,
765,260584,6120,0.04650443115019395,0.875,0.875,,,,,,,,,
766,260848,6128,0.026251781899954953,1.0,1.0,,,,,,,,,
767,261240,6136,0.03402680875726825,0.75,0.75,,,,,,,,,
768,261504,6144,0.0376256528567319,0.875,0.875,,,,,,,,,
769,261832,6152,0.03278840093791951,0.875,0.875,0.027969257419295103,1.0,1.0,,,,,,
770,262160,6160,0.02571877495004446,0.875,0.875,,,,,,,,,
771,262424,6168,0.04787687165571697,0.75,0.75,,,,,,,,,
772,262688,6176,0.02304171773575945,1.0,1.0,,,,,,,,,
